img,pink_count,orange_count,pink_prop,orange_prop
img0307,48,9,0.842105263,0.157894737
img0310,66,0,1,0
img0313,38,1,0.974358974,0.025641026
img0315,81,0,1,0
img0317,46,4,0.92,0.08
img0319,85,4,0.95505618,0.04494382
img0320,78,0,1,0
img0322,34,0,1,0
img0448,135,6,0.957446809,0.042553191
img0455,91,7,0.928571429,0.071428571
img0457,140,35,0.8,0.2
img0458,152,47,0.763819095,0.236180905
img0459,127,35,0.783950617,0.216049383
img0460,52,31,0.626506024,0.373493976
img0461,94,59,0.614379085,0.385620915
img0466,38,31,0.550724638,0.449275362
img0470,351,90,0.795918367,0.204081633
img0474,159,49,0.764423077,0.235576923
img0475,225,7,0.969827586,0.030172414
img0483,74,306,0.194736842,0.805263158
img0490,75,113,0.39893617,0.60106383
img0494,328,54,0.858638743,0.141361257
img0555,175,6,0.966850829,0.033149171
img0590,90,121,0.426540284,0.573459716
img0592,145,44,0.767195767,0.232804233
img0629,263,40,0.867986799,0.132013201
img0875,1,33,0.029411765,0.970588235
img0880,0,41,0,1
img0929,0,38,0,1
img0932,37,0,1,0
img0933,0,47,0,1
img0970,0,49,0,1
img1011,48,93,0.340425532,0.659574468
img1019,44,51,0.463157895,0.536842105
img1023,65,52,0.555555556,0.444444444
img1025,46,41,0.528735632,0.471264368
