Id,Label,Desc,DiscX,DiscY,DiscCx,DiscCy
photo0460_path2790,,pink,5.220281,170.961372,1.52837276,1.61098748
photo0460_path2902,,pink,22.507414,167.429594,1.4044506,2.7262866
photo0460_path2904,,pink,23.106371,166.624098,0.78484006,1.11529904
photo0460_path2906,,pink,38.637951,117.964012,0.95006952,1.19791374
photo0460_path2908,,pink,25.894621,97.867981,0.99137688,0.74353266
photo0460_path2910,,pink,26.349001,97.454901,1.15660638,1.15660638
photo0460_path2912,,pink,36.366051,71.307331,1.11529904,1.2392211
photo0460_path2914,,pink,3.671251,65.069921,1.4044506,1.98275376
photo0460_path2916,,pink,11.746843,62.674111,1.03268424,1.4044506
photo0460_path2918,,pink,16.93092424,67.09398703,0.99137688,1.98275376
photo0460_path3022,,pink,34.837671,56.354071,1.03268424,1.65229492
photo0460_path3024,,pink,22.34218725,2.489257093,2.0653684,0.82614746
photo0460_path3128,,pink,24.03579,4.182871,0.90876216,0.90876216
photo0460_path3130,,pink,52.51722775,19.03286422,0.95006952,1.36314326
photo0460_path3234,,pink,53.116171,41.751911,1.3218359,0.95006952
photo0460_path3236,,pink,60.634131,44.746691,1.15660638,1.15660638
photo0460_path3238,,pink,86.141421,81.406991,2.51033,1.60156804
photo0460_path3342,,pink,74.740591,89.399961,0.78484006,0.82614746
photo0460_path3344,,pink,90.210201,53.028831,2.1479834,2.0240612
photo0460_path3346,,pink,91.779871,53.317981,0.90876216,1.11529904
photo0460_path3348,,pink,72.7578453,43.46617432,1.03268424,2.1479834
photo0460_path3452,,pink,69.618481,31.858801,1.85883178,1.3218359
photo0460_path3454,,pink,69.391281,30.475011,1.2392211,1.77621688
photo0460_path3456,,pink,68.978221,32.664291,0.82614746,1.11529904
photo0460_path3458,,pink,69.618481,32.623001,0.61961054,1.11529904
photo0460_path3460,,pink,84.076051,30.165191,1.03268424,1.65229492
photo0460_path3462,,pink,81.78348704,16.43050539,2.0653684,1.03268424
photo0460_path3566,,pink,89.569931,23.390791,0.86745482,1.4044506
photo0460_path3568,,pink,111.0497823,25.02242868,2.6023644,1.28052846
photo0460_path3672,,pink,112.929261,32.767561,1.98275376,0.99137688
photo0460_path3674,,pink,101.259911,53.070141,1.11529904,1.19791374
photo0460_path3676,,pink,96.571541,84.690931,2.0653684,1.15660638
photo0460_path3780,,pink,97.232441,86.177991,1.56968012,1.48706532
photo0460_path3782,,pink,92.482101,99.995311,1.4044506,1.44575796
photo0460_path3784,,pink,129.2043639,57.53132455,2.230598,1.19791374
photo0460_path3888,,pink,134.3264679,21.38736931,2.4784422,1.11529904
photo0460_path3992,,pink,131.744761,8.850601,1.11529904,1.48706532
photo0460_path3994,,pink,145.582721,1.704431,1.28052846,1.81752434
photo0460_path3996,,pink,167.454991,59.720631,3.1393602,1.69360218
photo0460_path3998,,pink,169.5203469,20.64384717,2.1479834,1.28052846
photo0460_path4102,,pink,157.954311,57.200861,1.07399168,2.5197496
photo0460_path4104,,pink,140.8943373,81.63419322,2.3958274,1.3218359
photo0460_path4208,,pink,133.748151,102.040025,1.07399168,1.2392211
photo0460_path4212,,pink,172.5564576,120.6489874,0.95006952,1.77621688
photo0460_path4316,,pink,168.776821,111.334178,1.07399168,0.99137688
photo0460_path4318,,pink,172.9075538,52.05810718,1.98275376,1.07399168
photo0460_path4422,,pink,170.986751,57.593281,0.86745482,0.99137688
photo0460_path4424,,pink,172.556461,64.491621,1.77621688,0.99137688
photo0460_path4426,,pink,173.568491,51.108041,2.230598,0.99137688
photo0460_path4428,,pink,173.3206333,49.97208972,1.07399168,1.85883178
photo0460_path4532,,pink,138.085431,158.280009,1.81752434,1.44575796
photo0460_path4534,,pink,119.1423429,173.6651928,2.1614454,0.87626172
photo0460_path2128,,orange,4.683287,145.474723,1.52837276,1.03268424
photo0460_path2130,,orange,5.447478,144.731193,0.99137688,1.03268424
photo0460_path2132,,orange,7.017156,146.156297,0.90876216,0.99137688
photo0460_path2134,,orange,7.16173,145.495378,1.77621688,1.15660638
photo0460_path2136,,orange,36.138851,113.131053,1.81752434,1.44575796
photo0460_path2138,,orange,24.469518,96.793991,1.69360218,1.48706532
photo0460_path2140,,orange,35.250741,18.929591,1.11529904,0.99137688
photo0460_path2142,,orange,35.870351,18.454551,0.86745482,1.03268424
photo0460_path2144,,orange,35.230081,14.427081,0.74353266,0.82614746
photo0460_path2146,,orange,59.436201,3.253451,1.07399168,0.86745482
photo0460_path2148,,orange,61.604841,58.564011,1.03268424,1.11529904
photo0460_path2150,,orange,52.228071,132.814012,1.28052846,0.82614746
photo0460_path2152,,orange,44.462281,156.400523,1.28052846,1.4044506
photo0460_path2154,,orange,73.852481,116.600877,1.2392211,1.36314326
photo0460_path2156,,orange,79.387671,83.947381,1.07399168,1.2392211
photo0460_path2158,,orange,82.134601,63.438281,1.44575796,1.44575796
photo0460_path2160,,orange,103.986201,103.774931,1.28052846,1.07399168
photo0460_path2162,,orange,108.323471,150.101152,1.19791374,1.61098748
photo0460_path2164,,orange,109.480091,149.853306,1.77621688,1.44575796
photo0460_path2166,,orange,115.510971,108.401359,1.36314326,1.4044506
photo0460_path2168,,orange,122.244051,95.843921,1.9414463,1.48706532
photo0460_path2306,,orange,131.187091,5.876471,1.07399168,1.3218359
photo0460_path2308,,orange,150.952671,40.223541,1.19791374,1.69360218
photo0460_path2310,,orange,153.369151,52.182031,1.2392211,1.48706532
photo0460_path2414,,orange,156.074791,101.709568,1.11529904,1.07399168
photo0460_path2416,,orange,156.715071,102.267216,1.3218359,1.28052846
photo0460_path2418,,orange,147.028481,127.506016,1.19791374,1.03268424
photo0460_path2420,,orange,167.868051,64.987301,1.73490962,1.3218359
photo0460_path2422,,orange,173.878281,44.209701,1.52837276,1.4044506
photo0460_path2788,,orange,114.354361,99.830081,1.03268424,1.19791374
photo0460_path4210,,orange,158.780451,103.878202,1.3218359,1.19791374
