"","name","time","depth","Latitude","Longitude","Type","file_size","URL_img","URL_file","nm"
"1","HOTKEY_2019_03_31_at_12_25_58_IMG_0590","2019-03-31T12:25:52",2032.04,-61.20248717,-51.04272417,"HOTKEY",8334,"https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/HOTKEY_2019_03_31_at_12_25_58_IMG_0590.jpg","https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/HOTKEY_2019_03_31_at_12_25_58_IMG_0590.txt","img0590"
"2","HOTKEY_2019_03_31_at_13_35_42_IMG_0875","2019-03-31T13:35:33",2112.15,-61.201143,-51.06726267,"HOTKEY",10486,"https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/HOTKEY_2019_03_31_at_13_35_42_IMG_0875.jpg","https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/HOTKEY_2019_03_31_at_13_35_42_IMG_0875.txt","img0875"
"3","HOTKEY_2019_03_31_at_13_50_21_IMG_0933","2019-03-31T13:50:16",2116.43,-61.20184233,-51.07108867,"HOTKEY",10015,"https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/HOTKEY_2019_03_31_at_13_50_21_IMG_0933.jpg","https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/HOTKEY_2019_03_31_at_13_50_21_IMG_0933.txt","img0933"
"4","HOTKEY_2019_03_31_at_14_08_20_IMG_1011","2019-03-31T14:08:13",1998.44,-61.20066967,-51.07459017,"HOTKEY",6764,"https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/HOTKEY_2019_03_31_at_14_08_20_IMG_1011.jpg","https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/HOTKEY_2019_03_31_at_14_08_20_IMG_1011.txt","img1011"
"5","TIMER_2019_03_31_at_11_13_53_IMG_0307","2019-03-31T11:13:46",2188.77,-61.20253167,-51.01728717,"TIMER",10096,"https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/TIMER_2019_03_31_at_11_13_53_IMG_0307.jpg","https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/TIMER_2019_03_31_at_11_13_53_IMG_0307.txt","img0307"
"6","TIMER_2019_03_31_at_11_14_40_IMG_0310","2019-03-31T11:14:35",2189.17,-61.20256533,-51.01756617,"TIMER",9285,"https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/TIMER_2019_03_31_at_11_14_40_IMG_0310.jpg","https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/TIMER_2019_03_31_at_11_14_40_IMG_0310.txt","img0310"
"7","TIMER_2019_03_31_at_11_15_28_IMG_0313","2019-03-31T11:15:23",2189.81,-61.20259867,-51.0178175,"TIMER",10396,"https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/TIMER_2019_03_31_at_11_15_28_IMG_0313.jpg","https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/TIMER_2019_03_31_at_11_15_28_IMG_0313.txt","img0313"
"8","TIMER_2019_03_31_at_11_15_59_IMG_0315","2019-03-31T11:15:53",2188.62,-61.202625,-51.01794283,"TIMER",10046,"https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/TIMER_2019_03_31_at_11_15_59_IMG_0315.jpg","https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/TIMER_2019_03_31_at_11_15_59_IMG_0315.txt","img0315"
"9","TIMER_2019_03_31_at_11_16_30_IMG_0317","2019-03-31T11:16:24",2188.61,-61.2026375,-51.01817017,"TIMER",10162,"https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/TIMER_2019_03_31_at_11_16_30_IMG_0317.jpg","https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/TIMER_2019_03_31_at_11_16_30_IMG_0317.txt","img0317"
"10","TIMER_2019_03_31_at_11_17_02_IMG_0319","2019-03-31T11:17:00",2188.57,-61.20266833,-51.018328,"TIMER",10360,"https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/TIMER_2019_03_31_at_11_17_02_IMG_0319.jpg","https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_69-1/TIMER_2019_03_31_at_11_17_02_IMG_0319.txt","img0319"
